instruction,input,output
What are the distinct values from the given list?,"dataList = [3, 9, 3, 5, 7, 9, 5]","The distinct values from the given list are 3, 5, 7 and 9."
How would you order a sequence of letters alphabetically?,"A, B, C, D","The sequence of letters ordered alphabetically is A, B, C, D."
Write a JavaScript code to loop over all elements in the given array.,"numbersArray = [45, 6, 23, 12, 35]","for(let i = 0; i < numbersArray.length; i++) {
  console.log(numbersArray[i]);
}"
Write a Python function to calculate the factorial of a given number.,,"def factorial(number):
    fact = 1
    for i in range(1, number + 1):
        fact = fact * i
    return fact"
What would be the output of the following JavaScript snippet?,"let area = 6 * 5;
let radius = area / 3.14;","The output of the JavaScript snippet is the radius, which is 1.91."
Write a Python code to check if a given number is even or odd.,,"def is_even(number):
    if number % 2 == 0:
        return True
    else:
        return False"
Write an SQL query to select names of all employees who work in the Accounting department.,,SELECT Name FROM Employees WHERE Department = 'Accounting';
How would you sort a list of integer numbers in descending order?,,The list of integer numbers can be sorted in descending order using the Python's list sorting method: numbers.sort(reverse=True).
Write a function in JavaScript that takes in a string and returns its length.,,"function stringLength(string){
    return string.length;
}"
Write an if-else statement in Java that checks if a given number is between 0 and 10.,,"if (number >= 0 && number <= 10) {
    System.out.println(""The number is between 0 and 10."");
} else {
    System.out.println(""The number is not between 0 and 10."");
}"
How would you convert a string to a float in Python?,,The string can be converted to a float in Python by using the float() method: float(string).
"Write a SQL query to select employee names who earn a salary greater than $50,000.",,SELECT Name FROM Employees WHERE Salary > 50000;
Write a JavaScript program to check if a given string is a palindrome.,,"function isPalindrome(str){
    let reversed = str.split('').reverse().join('');
    return str === reversed;
}"
Write a Java code to find the sum of two numbers.,,"public int sumOfTwo(int a, int b) {
    return a + b;
}"
What is the syntax for creating a custom exception in Python?,,The syntax for creating a custom exception in Python is: class CustomException(Exception):.
"Generate the HTML code for a page with a centered headline that says ""My Portfolio"".",,"<html>
  <head>
    <title>My Portfolio</title>
  </head>
  <body>
    <center>
      <h1>My Portfolio</h1>
    </center>
  </body>
</html>"
Create a ruby function that takes two strings as parameters and returns true if the two strings are anagrams.,,"def is_anagram?(str1, str2)
  return str1.downcase.split("""").sort == str2.downcase.split("""").sort
end"
Suppose you have an array of objects and you want to sort them by the value of a given key. Write a JavaScript function to do the sorting.,"array = [
  { name: “John”, age: 63},
  { name: “Sam”, age: 21},
  { name: “Rob”, age: 42}
]
key = “age”","function sortByKey(array, key) {
  return array.sort((a, b) => (a[key] > b[key] ? 1 : -1));
}
sortByKey(array, ""age"");"
Write a SQL code to count the number of records in a table.,,SELECT COUNT(*) FROM tableName;
Create a Java program to calculate the factorial of a number.,,"public class FactorialCalculator {
 
    public static int calculateFactorial(int number) {
        int result = 1;
        for (int i = 2; i <= number; i++) {
            result *= i;
        }
        return result;
    }
 
    public static void main(String[] args) {
        System.out.println(calculateFactorial(5));
    }
}"
Rewrite this JavaScript function to use ES6 syntax.,"function doubleValue(x) {
  return x * 2;
}",const doubleValue = x => x * 2;
Create an array of strings with only the elements of another array that have a length longer than 5 characters.,"array = [""January"", ""February"", ""March"", ""April"", ""May"", ""June"", ""July""]",const longNames = array.filter(name => name.length > 5);
Create a for loop in Python to print out the items in the following list.,"list = [""apple"", ""banana"", ""cherry"", ""orange""]","for item in list:
  print(item)"
